"SITECODE","SYEAR","PLOTPID","CELLID","FEATURE"
"T05",1994,272,2,"X"
"T05",1994,272,3,"X"
"T05",1994,272,4,"X"
"T05",1994,272,5,"X"
"T05",1994,272,6,"X"
"T05",1994,272,7,"X"
"T05",1994,272,8,"X"
"T05",1994,272,9,"X"
"T05",1994,272,10,"X"
"T05",1994,289,1,"X"
"T05",1994,289,2,"X"
"T05",1994,289,3,"X"
"T05",1994,289,4,"X"
"T05",1994,289,5,"X"
"T05",1994,289,6,"X"
"T05",1994,289,7,"X"
"T05",1994,289,8,"X"
"T05",1994,289,9,"X"
"T05",1994,289,10,"X"
"T05",1994,343,1,"X"
"T05",1994,343,2,"X"
"T05",1994,343,3,"X"
"T05",1994,343,4,"X"
"T05",1994,343,5,"X"
"T05",1994,343,6,"X"
"T05",1994,343,7,"X"
"T05",1994,343,8,"X"
"T05",1994,343,9,"X"
"T05",1994,343,10,"X"
"T05",1994,344,1,"X"
"T05",1994,344,2,"X"
"T05",1994,344,3,"X"
"T05",1994,344,4,"X"
"T05",1994,344,5,"X"
"T05",1994,344,6,"X"
"T05",1994,344,7,"X"
"T05",1994,344,8,"X"
"T05",1994,344,9,"X"
"T05",1994,344,10,"X"
"T05",1994,91,7,"X"
"T05",1994,91,8,"X"
"T05",1994,91,9,"X"
"T05",1994,91,10,"X"
"T05",1994,118,1,"X"
"T05",1994,118,2,"X"
"T05",1994,118,3,"X"
"T05",1994,118,4,"X"
"T05",1994,118,5,"X"
"T05",1994,118,6,"X"
"T05",1994,118,7,"X"
"T05",1994,118,8,"X"
"T05",1994,118,9,"X"
"T05",1994,118,10,"X"
"T05",1994,128,1,"X"
"T05",1994,128,2,"X"
"T05",1994,128,3,"X"
"T05",1994,128,4,"X"
"T05",1994,128,5,"X"
"T05",1994,128,6,"X"
"T05",1994,128,7,"X"
"T05",1994,128,8,"X"
"T08",1994,327,9,"X"
"T08",1994,327,10,"X"
"T08",1994,370,1,"X"
"T08",1994,370,2,"X"
"T08",1994,370,3,"X"
"T08",1994,370,4,"X"
"T08",1994,370,5,"X"
"T08",1994,370,6,"X"
"T08",1994,370,7,"X"
"T08",1994,370,8,"X"
"T08",1994,370,9,"X"
"T08",1994,370,10,"X"
"T08",1994,416,1,"X"
"T08",1994,416,2,"X"
"T08",1994,416,3,"X"
"T08",1994,416,4,"X"
"T08",1994,32,1,"X"
"T08",1994,32,2,"X"
"T08",1994,32,3,"X"
"T08",1994,32,4,"X"
"T08",1994,32,5,"X"
"T08",1994,32,6,"X"
"T08",1994,32,7,"X"
"T08",1994,32,8,"X"
"T08",1994,32,9,"X"
"T08",1994,32,10,"X"
"T08",1994,61,1,"X"
"T08",1994,61,2,"X"
"T08",1994,61,3,"X"
"T08",1994,61,4,"X"
"T08",1994,61,5,"X"
"T08",1994,61,6,"X"
"T08",1994,61,7,"X"
"T08",1994,61,8,"X"
"T08",1994,61,9,"X"
"T08",1994,61,10,"X"
"T08",1994,72,1,"X"
"T08",1994,72,2,"X"
"T08",1994,72,3,"X"
"T08",1994,72,4,"X"
"T08",1994,72,5,"X"
"T08",1994,72,6,"X"
"T08",1994,72,7,"X"
"T08",1994,72,8,"X"
"T08",1994,72,9,"X"
"T08",1994,72,10,"X"
"T08",1994,104,1,"X"
"T08",1994,104,2,"X"
"T08",1994,104,3,"X"
"T08",1994,104,4,"X"
"T08",1994,104,5,"X"
"T08",1994,104,6,"X"
"T08",1994,104,7,"X"
"T08",1994,104,8,"X"
"T08",1994,104,9,"X"
"T08",1994,104,10,"X"
"T08",1994,168,1,"X"
"T08",1994,168,2,"X"
"T08",1994,168,3,"X"
"T08",1994,168,4,"X"
"T08",1994,168,5,"X"
"T08",1994,168,6,"X"
"T08",1994,168,7,"X"
"T08",1994,168,8,"X"
"T08",1994,416,5,"X"
"T08",1994,416,6,"X"
"T08",1994,416,7,"X"
"T08",1994,416,8,"X"
