SITECODE,SYEAR,PLOTPID,PLOTTYPE,SDATE,FEATURES,UNSURVEYED
T02,1994,23,S,11-AUG-1994,X,0
T02,1994,24,S,02-AUG-1994,X,0
T02,1994,25,S,05-AUG-1994,X,0
T02,1994,26,S,05-AUG-1994,X,0
T02,1994,27,S,05-AUG-1994,X,0
T02,1994,28,S,03-AUG-1994,X,0
T02,1994,29,S,03-AUG-1994,X,0
T02,1994,30,S,03-AUG-1994,D,0
T02,1994,31,S,03-AUG-1994,X,0
T02,1994,32,S,27-JUL-1994,X,0
T02,1994,33,S,27-JUL-1994,X,0
T02,1994,34,S,11-AUG-1994,X,0
T02,1994,35,S,11-AUG-1994,X,0
T02,1994,36,S,09-AUG-1994,X,0
T02,1994,37,S,05-AUG-1994,X,0
T02,1994,38,S,05-AUG-1994,X,0
T02,1994,39,S,05-AUG-1994,X,0
T02,1994,40,S,03-AUG-1994,X,0
T02,1994,41,S,03-AUG-1994,X,0
T02,1994,42,S,28-JUN-1994,X,0
T02,1994,43,S,29-JUN-1994,X,0
T02,1994,44,S,29-JUN-1994,X,0
T02,1994,45,S,29-JUN-1994,X,0
T02,1994,46,S,11-AUG-1994,X,0
T02,1994,47,S,09-AUG-1994,X,0
T02,1994,48,S,05-AUG-1994,X,0
T02,1994,49,S,05-AUG-1994,X,0
T02,1994,50,S,05-AUG-1994,X,0
T02,1994,51,S,03-AUG-1994,X,0
T02,1994,52,S,07-JUL-1994,X,0
T02,1994,53,S,28-JUN-1994,X,0
T02,1994,54,S,28-JUN-1994,X,0
T02,1994,55,S,28-JUN-1994,X,0
T02,1994,56,S,28-JUN-1994,X,0
T02,1994,57,S,28-JUN-1994,X,0
T02,1994,58,S,28-JUN-1994,X,0
T02,1994,59,S,29-JUN-1994,X,0
T02,1994,60,S,29-JUN-1994,X,0
T02,1994,61,S,29-JUN-1994,X,0
T02,1994,62,S,09-AUG-1994,X,0
T02,1994,63,S,09-AUG-1994,X,0
T02,1994,64,S,12-AUG-1994,X,0
T02,1994,65,S,12-AUG-1994,B,0
T02,1994,66,S,09-AUG-1994,X,0
T02,1994,67,S,23-AUG-1994,X,0
T02,1994,68,S,07-JUL-1994,X,0
T02,1994,69,S,07-JUL-1994,X,0
T02,1994,70,S,30-JUN-1994,X,0
T02,1994,71,S,30-JUN-1994,X,0
T02,1994,72,S,10-AUG-1994,X,0
T02,1994,73,S,30-JUN-1994,X,0
T02,1994,74,S,30-JUN-1994,X,0
T02,1994,75,S,29-JUN-1994,X,0
T02,1994,76,S,29-JUN-1994,X,0
T02,1994,77,S,09-AUG-1994,X,0
T02,1994,78,S,09-AUG-1994,X,0
T02,1994,79,S,22-JUL-1994,X,0
T02,1994,80,S,22-JUL-1994,P,0
T02,1994,81,S,09-AUG-1994,X,0
T02,1994,82,S,09-AUG-1994,X,0
T02,1994,83,S,12-AUG-1994,P,0
